Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 Delta_x Delta_y Delta_z Delta_vx Delta_vy Delta_vz Datatype
0.000000000000000000e+00 -3.537286588925291443e+10 2.540971980076791687e+11 -4.281952810503910065e+10 -1.656868356047342968e+04 -1.918834227186744101e+04 -1.895917504159673626e+03 6.603281291089646518e+07 8.250788566847074890e+02 -3.463782553421044922e+11 -1.681229363250470276e+11 2.379452611561810017e+09 2.428358479488250305e+04 -4.755757407158611750e+04 4.567399624632027553e+03 0.000000000000000000e+00
0.000000000000000000e+00 1.600552316878817749e+11 9.639532703227990723e+10 -1.527358268058173180e+10 -2.414225411274959333e+04 1.584106686873728358e+04 1.606109831256213283e+03 7.670764849662882090e+07 8.852520524448409560e+02 -1.169183025594238586e+11 -4.565189137107229614e+10 -1.351046409033558846e+09 -9.701253338354399602e+03 -1.382307265265768365e+04 -7.978346311052450801e+02 0.000000000000000000e+00
0.000000000000000000e+00 -2.533812383011545410e+11 2.411078249860214539e+11 -3.546643502506941986e+10 -3.528786125801601156e+04 -8.279980266300102812e+03 -1.259959958261782504e+03 4.649767464459960908e+07 8.092033437744727280e+02 -1.709659400220227966e+11 -1.557422035058422241e+11 -3.754275798384489536e+09 1.313918047057743752e+04 -2.479406464659642006e+04 2.981386090035911366e+03 0.000000000000000000e+00
0.000000000000000000e+00 -4.142738807599094391e+10 4.988222591926928711e+10 -4.038790933474694252e+09 -1.527861677581582626e+03 -2.808870805018046667e+03 -6.136697317363330058e+02 6.140638372011289746e+07 8.548163667876566478e+02 -1.910973596306933594e+11 -3.219660293203105469e+11 -3.931206939443303347e+08 4.950253934162569931e+04 -1.859941965056050685e+04 3.704743846605320527e+02 0.000000000000000000e+00
0.000000000000000000e+00 -1.442152904255780029e+11 3.006283826511911621e+11 1.986902444439936638e+09 -4.287134970083346707e+04 -6.740632321029845116e+03 -3.937074207341609053e+02 4.702676456908626854e+07 7.919227419539865878e+02 -1.438952044495400391e+11 -1.798976169944557495e+11 -4.610013467574555397e+09 1.736750448557970594e+04 -2.629121275835892448e+04 8.821655631398941750e+02 0.000000000000000000e+00
0.000000000000000000e+00 -3.914714014003032227e+11 -5.147252500594578552e+10 -4.855513535337589264e+10 8.206862430013597987e+03 -5.116786544565798977e+04 1.455347569885969278e+03 2.504039683616828173e+07 7.798141881706360437e+02 7.618201408642807007e+10 -1.126169011344433899e+11 -3.798265800849452496e+09 4.563528788639014238e+03 2.000994077615790957e+04 5.100376657789499404e+03 0.000000000000000000e+00
0.000000000000000000e+00 -2.132899382304035187e+10 9.625059822115487671e+10 -1.008508318969840431e+10 9.088230291791078344e+03 -3.004649748087139415e+03 -2.200981189478320630e+03 6.543180818145802617e+07 8.517723211171224875e+02 4.443692412963333130e+08 -3.650399878655000000e+11 -4.475007940325215340e+09 5.603656365951852786e+04 2.206969383186899449e+02 6.632604663440528384e+03 0.000000000000000000e+00
0.000000000000000000e+00 2.947409954643069458e+11 1.542933401452648315e+11 -9.747321820923622131e+09 -2.990655005778574196e+04 2.530759179885237972e+04 4.770894573327512944e+02 6.066770790156687796e+07 8.260230150847183950e+02 -2.531370084424654846e+11 2.459978909698621826e+11 7.639348719018580437e+09 -3.853484417573345854e+04 -2.594369493697572034e+04 1.609192474369077672e+02 0.000000000000000000e+00
0.000000000000000000e+00 -1.812394278659085693e+11 3.078013807573984375e+11 -2.680802639538422012e+10 -4.225090826340348576e+04 -1.531454900545028431e+04 -3.878957747132878353e+02 3.727279649312122166e+07 7.914359680991649384e+02 -1.753201058410059204e+11 -3.277054574355100708e+11 -2.145028970193297863e+09 4.789865565841784701e+04 -2.602739083052805654e+04 2.192096118680079599e+03 0.000000000000000000e+00
0.000000000000000000e+00 -2.657376518813452454e+11 -1.162899061901572113e+11 -1.335421120270916367e+10 -6.822844763220251480e+03 -3.186663139136567042e+04 -4.278396999185538903e+02 7.511762871422559023e+07 8.766480392249061424e+02 2.229409307068601074e+11 2.887622388009146118e+11 -6.306128657296783924e+08 -4.620248530895613658e+04 3.075931840095604639e+04 2.451466733644056148e+02 0.000000000000000000e+00
0.000000000000000000e+00 1.743354615658226318e+11 -2.794683133628547363e+11 6.521934283740068436e+09 1.874310445248440010e+04 4.310364486137629865e+04 -6.526690170628636452e+02 3.807694259561131895e+07 7.955387957946055622e+02 4.170538492218969727e+10 2.783883420399382935e+11 -5.318004923110395670e+07 -3.892907961804536171e+04 3.799190253461471002e+03 -2.124184922715985522e+02 0.000000000000000000e+00
0.000000000000000000e+00 -8.491630528241326904e+10 1.766474951275339661e+11 1.570866236089905739e+10 -1.501431818715899863e+04 1.652297175615798187e+04 -3.757903526509941912e+03 7.491358331546920538e+07 8.365282315129204562e+02 1.510522562480361633e+11 -2.516641068505010376e+11 -6.570226855272912025e+09 4.238774105554226117e+04 1.777924682935815144e+04 6.009059671443450497e+03 0.000000000000000000e+00
0.000000000000000000e+00 -2.080690992030715637e+11 -2.637409604181926575e+11 -4.436723617479515076e+09 4.668674311968517577e+04 -2.235702707914968050e+04 1.768820735113873297e+03 5.343632744182074815e+07 8.276128934035439215e+02 2.467373210641550293e+11 1.742034087645597839e+10 -1.116619995821163177e+09 1.170721735880648521e+04 3.487193535248548142e+04 3.147528037976059068e+02 0.000000000000000000e+00
0.000000000000000000e+00 -2.891831842622255859e+11 2.801778405534824829e+11 5.916869662040937805e+10 -3.261367600773793674e+04 -2.625203183260559308e+04 -4.153891532759842562e+02 3.681962982661004364e+07 8.035185186412079474e+02 -8.976692643004957581e+10 -3.588080038833460693e+11 -3.149931517689867020e+09 5.550834669954946003e+04 -1.172226922893669325e+04 -5.599716615613906470e+03 0.000000000000000000e+00
0.000000000000000000e+00 7.547414283649645996e+10 -3.383591908178970947e+11 -9.327623107723476410e+09 4.565186574537867273e+04 1.546381866303973402e+04 -1.526007030946196892e+02 2.472223207410205528e+07 7.818211764859643154e+02 5.260713673020547485e+10 -5.284007706010784912e+10 -5.875249292498628616e+09 6.946106991254572677e+03 -4.978766483068637172e+03 -1.084540188309870246e+02 0.000000000000000000e+00
