Label Ep Ev t_t m_0 Delta_x Delta_y Delta_z Delta_vx Delta_vy Delta_vz
0.000000000000000000e+00 1.156760328831991924e-01 1.043800886658686200e-01 5.497276215044419878e-01 3.691723586840600646e-01 1.492124638727008734e-01 4.636985820278491377e-01 9.888145151925118448e-01 5.996343165604077763e-01 2.105682739690888372e-01 4.422412930055640290e-01
0.000000000000000000e+00 7.101213015829606068e-01 6.979491111889627453e-01 3.111460691019693470e-01 2.619346224452137051e-01 8.958916966496079937e-01 2.548996285939656437e-01 6.057952174783387544e-03 7.091014536259687695e-01 9.134053129636339197e-01 5.224118613400335898e-01
0.000000000000000000e+00 4.156654308492212513e-01 8.790439594756017661e-01 7.441129406949120728e-01 4.312622972202246885e-01 8.066791427953861060e-01 3.475302645143444336e-01 3.411040050537200718e-02 5.066068510377571554e-01 7.983889903390826159e-01 3.231221809124642519e-01
0.000000000000000000e+00 1.753186220317318523e-05 8.599316321527562812e-02 7.137815304997807697e-01 4.842162686970432617e-01 5.770263805738263807e-01 8.160211852395848897e-01 9.463222382518445830e-01 2.906388935673797080e-01 6.385727543336547907e-01 5.180850516000030659e-01
0.000000000000000000e+00 1.103618880261528490e-01 2.092373976651383249e-01 8.077251434320511514e-01 3.941021512332625321e-01 6.385955459012540025e-01 1.921452016603480972e-02 8.348832778890424855e-02 9.230817057957967364e-01 6.341423123460404598e-01 1.465860827838064151e-01
0.000000000000000000e+00 1.373369283729927726e-01 9.011238690932900364e-02 1.697796350322983150e-02 4.969213156325302805e-02 6.384562736382811687e-01 9.747323338771509693e-01 6.485450034331252667e-01 4.701457228905342456e-02 5.930721698965308875e-01 7.502453181667546600e-01
0.000000000000000000e+00 8.732474005286193497e-02 8.456659690946757846e-02 8.727572509094378983e-01 5.049261749005617972e-01 1.324032665491431393e-01 5.996486072987746718e-01 7.751957872944141847e-01 3.010663003147030503e-01 2.067508848038340785e-01 5.633492544609262076e-01
0.000000000000000000e+00 5.916810295753702764e-01 7.006226724794893945e-01 9.453936292798008623e-01 5.772323198885818130e-01 2.196837216295235984e-01 5.535242934353840072e-01 9.926855840671100495e-01 5.505948691187250166e-01 2.490023249081990964e-01 7.869375640863307542e-01
0.000000000000000000e+00 5.365751332562909148e-01 7.055494907226500523e-01 3.422115832989193751e-01 2.189079138868557095e-01 8.577111722984693820e-01 7.357925687406007276e-01 1.738899661621076120e-01 1.963342841698164087e-01 7.613773164290746909e-01 2.861362855459058663e-01
0.000000000000000000e+00 3.049747719550894298e-01 2.053473466297194017e-01 7.532822206121028152e-01 3.802518329559356758e-01 2.540791814037135499e-02 3.428892676753197977e-01 7.608137055646957414e-01 6.497360601466568575e-01 5.432026163475289771e-02 5.954906165665557749e-01
0.000000000000000000e+00 1.190580118299054829e-01 2.196929597527040590e-01 8.217328865843291918e-01 3.985084576072583928e-01 2.587309448347683283e-01 6.924379304588403894e-01 8.827950229404862847e-01 2.423367171123641528e-01 3.832469975794112194e-01 6.599898282441316599e-01
0.000000000000000000e+00 4.954263778017312658e-01 6.993516833490908136e-01 7.967428664415274753e-01 5.270731718019918688e-01 7.589172642230548327e-01 6.909261311443593012e-01 1.165457307631601047e-01 2.481041385489227147e-01 6.508641627718400047e-01 5.563746396087421164e-01
0.000000000000000000e+00 1.851818420482625321e-02 1.386119346662242624e-01 3.523701653123034183e-01 2.020171529657588394e-01 4.440791188797043043e-01 6.546006233249956896e-01 6.927902752750267901e-01 4.922498393981729059e-01 3.604609635817483393e-01 8.297403712279562971e-01
0.000000000000000000e+00 8.632791659400872175e-02 2.109809022506232701e-01 8.891605680290143310e-02 1.150196168332504598e-01 9.126279853487827554e-01 6.888525797077674762e-01 4.556524302563062512e-01 3.995836202340889431e-01 8.965957076550981064e-01 4.064180400492326539e-01
0.000000000000000000e+00 8.792422847479370793e-03 9.415549673547492573e-03 7.161205485371385793e-02 1.602559934571576861e-01 3.692320818813349392e-01 9.805708723067578791e-01 8.896597761235989221e-01 5.607804825411222271e-02 3.449316557612093770e-01 5.076689108117319327e-01
0.000000000000000000e+00 1.260856088230859484e-01 1.188224929983590916e-01 8.422272726866151249e-01 6.212742397328279154e-01 5.174963484906296429e-01 1.357374569423697164e-02 1.005713056608792955e-01 9.458086786465176310e-01 4.620255122600368525e-01 4.890159197903405364e-01
