Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 Delta_x Delta_y Delta_z Delta_vx Delta_vy Delta_vz
0.0 30.286873340087595 119291997650.60284 19484827364.865387 -7185549160.1049795 -15839.51273169136 11791.12435717871 140.4029999046307 21032221.540870856 777.2868733400876 271038110828.07437 82931525549.29651 -180919416.75967088 -696.845851350603 43084.067611980965 801.4449507514867
0.0 66.73298536355469 -1956321.2473754883 1176878.5545082092 174146.38210225105 5064.760069945583 3972.239372531287 8762.838081731004 59567283.01898393 813.7329853635547 -393545435797.1328 -19708989197.24717 5333304334.941238 4813.012149513998 -47526.30268265663 -6359.2075734566915
0.0 49.29510154396837 2338438.8256225586 -777416.275680542 -424160.0964140892 3578.87999636904 2581.0650012701244 8812.62491548679 35214989.59070823 796.2951015439684 9653224066.495377 89461306106.11493 878355987.798116 4490.766178388292 -7415.031244755533 -6012.287729818577
0.0 66.8764903276317 425877.67890930176 404821.8735046387 7229234.197363853 2104.9143147159702 3809.9841593582714 -6057.14934498381 53609533.71351604 813.8764903276317 -17212152766.56694 -238597024242.92816 26413974.917831585 32105.565430627445 14782.705793015006 4869.944037656323
0.0 104.42485990265573 -92920389086.63898 114527561812.56868 6137461069.113547 -19580.202489861156 2994.9453251816267 -274.5356598044115 50304752.19293931 851.4248599026557 -84213207985.86017 -128084262807.57303 -5460423894.798911 6382.201790178333 -13500.657091343342 -202.6557782830612
0.0 26.61860020517065 -292446781547.86945 206546974523.5011 3779027460.948764 -34586.84810484416 -36792.08868409616 117.7128170014202 20907404.20479119 773.6186002051707 -48820866457.168274 -132021311375.90083 2084938733.1164815 15225.454120553746 11289.890499203666 -1028.9453717516262
0.0 24.419676693400447 7620662183.602463 -154815602473.09924 -1378034033.3425493 28055.458358229298 5051.768842268597 -897.9304166005719 20775288.171912022 771.4196766934004 -4527481395.882324 -236593211418.57074 -6580982156.702011 35045.99734436166 -13585.277626376024 -204.61597123877627
0.0 113.53720689528734 20298795.18559265 13970360.740264893 1167724.3033919334 3252.256159957946 5985.493358100524 -5327.106201054849 65765163.28180998 860.5372068952873 -303436343203.155 -235971224932.13547 1368042403.8372178 35827.87690842249 -36828.83774341591 652.6744081898173
0.0 110.77698858862846 -33199510.95550537 37759105.38384247 -21125483.97401905 2932.002994904228 2436.293012574086 1150.8091582090253 54516491.57125273 857.7769885886285 -220146168784.75317 -177839283348.0181 5292605752.967087 34327.97990190079 -17288.996065745887 -1669.1699519447398
0.0 38.59475392134675 -593130.1122589111 -298944.77381515503 408887.1046729088 9583.467982799728 1464.3378925322759 1407.0318746604228 31727628.83979225 785.5947539213468 40390287106.10576 132932851271.9529 6560091495.980118 703.4734733411242 16417.02731034165 -314.191225764263
