Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 Delta_x Delta_y Delta_z Delta_vx Delta_vy Delta_vz
0.0 4971227.986419678 -3239634.181655884 9899870.818641424 -8524.283389360618 8960.012235680193 457.14036539348876 46208041.903033905 821.792691126985 -190480935725.29214 -57129096631.88815 -1041020911.9715755 -6767.607287348605 -17637.758651697364 -608.8977442501288
0.0 51569370809.020546 58758844228.54874 -4338669263.174135 2151.8286388676497 12261.453882530677 116.80577292780868 70193397.91173401 849.8849601456199 71431092493.12544 -335214524925.2938 -6230146326.705043 51263.098037451506 9687.084985676567 -2602.0783398600347
1.0 -12883623.268035889 -9302792.560302734 2215615.374889374 -126.61491728781766 384.44094447149473 370.96922382295816 69970935.25249085 877.8309920903945 45559030406.4366 -340428301275.4765 -6035289576.470776 52132.10841781316 4352.084869991451 -1998.4987782219505
0.0 -262497127273.8037 49086913362.40253 -10952477396.166027 -17727.92160589547 -2774.576865752151 1094.2772591943794 70202881.58842704 846.230131142731 7345844565.749207 285024590030.1398 897188925.1278205 -37914.025324481976 -1543.3817747296853 -106.92831988028365
0.0 -755974.1402893066 843348.8310241699 461385.08693122864 -5799.606145997181 -4679.316934485803 4378.66936989472 69439963.61569014 849.8539170632989 45095619901.313965 274852276547.4428 -210103644.56066218 -42803.786055934965 -7030.944436489852 -5433.734197578127
0.0 51805749808.19355 41504017312.63034 1528331879.3428645 6908.306127384127 10941.002967256125 -61.60946539005954 71501262.91141331 824.2134431533301 -49899817515.635284 -314661738071.20435 -5613412489.73126 46858.94810420409 -9926.687278338148 -1273.6918861112872
1.0 901495.3753051758 1810586.6849975586 -3335548.095418453 586.9348170095285 438.9459940147608 -622.7164334001659 70866694.37133089 849.7913918124228 -109360403766.0116 -302012018065.80597 -4826300679.263488 42522.751923375625 -21639.597529633164 -1873.3963325066698
0.0 -79697094687.5191 37637564325.80383 -7540816536.13192 5938.474892486742 -385.42999918896385 469.2273077674531 71416620.39563814 845.9862493345119 175543569098.94495 -288956983499.1615 -6678581662.164702 44871.249791871065 26056.003436990624 -2691.7688607842883
0.0 9061454.769577026 20150978.26712036 12673282.447435379 -516.5452979569418 460.80810608754655 703.5306913771208 70565442.63821647 842.7086920479251 124013364513.38564 -318952715506.49927 -6518170283.184983 49030.44518643598 17253.49503803785 -2830.8619595198215
0.0 131446439494.90565 -99454320651.31097 -3070566342.155351 17764.27423258414 758.7426510473633 302.55863178543825 63822113.959458046 820.6576387103577 -130623705198.37204 -335610055142.9889 -703210472.924718 48124.1939493296 -16701.9356285412 258.14906511044893
0.0 13386582.677978516 3031975.8475875854 -10207896.301445007 3222.083564270438 1644.1289881125558 -6263.086514461308 63122385.644238666 869.0849702728682 -305849984260.2953 -230319821422.38354 2545396271.7386684 35993.259584665335 -37365.851905849966 6352.656267767464
0.0 -230671669021.28888 97036091520.29247 11624814131.821602 -12810.053329552204 3539.988520093895 -320.0669169366982 43850389.4779591 824.4148116205823 -160677687413.8813 -253757847936.12988 -4198352924.988751 34029.4639695209 -23913.335559857194 -630.076838468732
0.0 1284570.6251220703 -2552713.8066101074 1466702.675269127 -5583.816981281798 9071.101247381124 -404.8464404618966 43855603.213182144 831.439356874947 -237243195579.5432 -28224807626.409943 683014542.4374794 -8862.743922837704 -23500.31413401386 538.6565424310295
0.0 80045952075.73526 15068075080.50122 -6323472109.121737 8645.943486079163 12445.182807883499 804.6587566594692 69754746.51215145 874.4904460209062 -15100496439.343437 -342114668082.8781 -5533988268.002642 51486.9312706936 -3904.507472244616 -2029.853688215276
1.0 -17254081.217163086 -3522067.0317840576 -7421995.173827648 947.2643738477327 450.79296211239125 254.57515937892185 69216883.77381796 876.2840232891973 -62339328272.76918 -339589781769.42896 -4950248140.678037 50519.404627379394 -13559.915277679147 -1163.5614532119002
0.0 -21912807603.411194 109104039766.68022 4302754993.621061 817.7575626681537 13093.454574124304 458.4642914882952 76432139.84404023 863.9979909470832 59826064318.10504 -307997575946.1732 -6512437354.899785 46695.01974623783 7249.337717766239 -1474.33892569937
1.0 -10415140.477218628 1404131.8731689453 -13381567.701565742 -359.29113110813705 1638.6535510461508 608.1076590019097 75886817.96006596 876.4771018102301 25633108069.277756 -316612591312.1064 -6283880053.258629 47204.39272150356 736.7958623443483 -1481.8287073318459
0.0 24129149911.87294 117429442869.9718 -7117654765.101003 1822.8727306648434 8218.09741252011 -298.16444436604195 32875928.06387125 786.7651393137126 -376962293287.2335 74376472944.60255 5992395692.516936 -11686.34513132731 -49147.90530667818 2253.1655143647013
0.0 -7806199.117553711 -5650742.724380493 8404737.063140988 5089.715542339351 4055.9169131034178 4.07669827802772 33376160.25544431 800.6499754784304 -28927412904.386185 269868617974.4411 7824056218.757222 -31782.78574519586 11527.971910475788 852.3317631986021
0.0 -64602988365.4532 72582362598.00703 12932655507.229221 2502.4870940139663 8640.521568469692 -1262.3479174297872 73629007.99409235 867.2807947238734 141979825479.59183 -275939096055.01074 -6672538895.519324 43032.64831456173 19969.69873415161 -1513.6966523473816
1.0 -1902863.0053405762 -3890830.0151672363 7678626.151304245 -834.1735385562133 -57.83336853658511 253.8712008647621 73272100.35753486 866.976493046181 118710634150.05963 -288782768015.2094 -6678052005.901018 45095.00731206621 13160.243520949238 -2584.4608286863163
0.0 -61125823636.711975 23838248061.312218 4872843846.595396 -3294.6279213823127 5511.0589273850055 -495.37743958941473 72548382.68828511 813.6751010585089 317890730055.06964 -131038437349.7786 -5777378109.056593 20576.033834762333 48520.20303098802 -2936.9198983745146
