Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta Datatype
0.000000000000000000e+00 9.600635055164840698e+10 1.468640791392128296e+11 -6.792803494094750214e+10 -2.249397782502254995e+04 -7.676285397513907810e+03 4.255631356082960792e+02 3.484477304002341628e+07 7.994831194850821703e+02 1.545915621706437988e+11 2.057067741325066257e-01 9.656459055494547306e-01 -4.075040554146811544e-01 -1.015687255953918289e+00 1.135171078183889959e+00 0.000000000000000000e+00
0.000000000000000000e+00 -5.019104417819633484e+10 -2.440011311590173950e+11 -3.747768246402194214e+10 4.058903660978884000e+04 4.908503531633868988e+02 -7.505420111442094822e+02 3.095083172192576528e+07 7.898491658976402050e+02 3.912435164415841675e+10 1.556927685193803534e-01 9.854725029279590709e-01 6.296010610436888477e-01 -8.075083199365540310e-01 6.527407776856528621e-01 0.000000000000000000e+00
0.000000000000000000e+00 -7.847139545731355286e+10 7.586805414544941711e+10 -2.201678818185756302e+10 3.518123748376459844e+03 1.605222626583321471e+04 -2.913360151416459303e+03 7.092904605014368892e+07 8.683438764355380499e+02 7.673898177505007935e+10 1.222842769096241233e-02 9.908042148828571927e-01 -4.636607128239640829e+00 7.414043404441861274e-01 5.434406660218810359e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.427770098768770752e+11 1.876545400114700317e+10 -7.024664508458699036e+10 -2.474249673055648964e+04 2.442717777115898207e+04 -2.263268681346165067e+03 6.173031241899906099e+07 8.390253852227536981e+02 1.541567249608738708e+11 3.696816908728339790e-02 9.708402246459242324e-01 5.020946445079655263e+00 3.301637007520843881e+00 -3.179219011985468413e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.722235469343254089e+11 4.264625496735733032e+10 -8.236084330473576546e+09 -1.586496294884663075e+04 2.640294803904966466e+04 1.572298269921215251e+03 7.435215583199936152e+07 8.696100882366279166e+02 7.252470316277587891e+10 6.723096896575880832e-02 9.999930732922412968e-01 1.693390803966680069e-01 -3.677962895943445609e+00 -3.129683544338778045e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.117459201921851501e+11 2.422978487668623352e+10 4.672364458393953705e+10 -4.967719383554522210e+03 -8.756786525996192722e+03 -2.642328637078764132e+03 6.137548091370309889e+07 8.353124375128227257e+02 4.075614224676644897e+10 2.859113075003861248e-01 9.768788606335175873e-01 3.724511819439982219e+00 -5.739803995080428045e-01 7.105351871951843812e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.099035050143336487e+11 9.034295663026551819e+10 -3.897198774698514557e+10 -2.186067191177979112e+03 -1.152938673509827640e+04 1.364909787046360634e+03 3.359753517964774370e+07 7.934611690440945040e+02 1.407789097140265808e+11 1.433631762999566239e-01 9.899992944169470066e-01 4.897611993453343970e+00 2.452690397831403857e+00 -2.243715674750276889e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.388305642774519348e+10 2.565525132418929443e+11 1.177022305379670334e+10 -2.847795341873534562e+04 1.044261821207709181e+04 1.710179263664643486e+03 3.290637381158031523e+07 7.744153940578607944e+02 4.525777000703344727e+10 5.266988394465495216e-02 9.974828253832720426e-01 -3.496293141625558487e+00 4.724776161204937153e-01 2.321022791538358110e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.679444351349615479e+11 9.627330243720272827e+10 2.608955934713906765e+09 6.320395809492511034e+02 3.245206184372735515e+04 1.203720186448051663e+03 4.315798753715798259e+07 8.146612908608385624e+02 7.148944343748724365e+10 1.046172014140592799e-01 9.997940934359706988e-01 3.618060029011473056e+00 1.229609024453744537e+00 -5.603530280308730127e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.527381862442086792e+11 -1.451848915920477295e+11 1.149666146248666954e+10 1.030389106269017611e+04 4.135070811525839963e+04 2.722268213418208234e+03 4.565652838298807293e+07 7.904170299666899382e+02 8.526710571480975342e+10 5.975777449153048260e-02 9.933633477762602304e-01 -3.526720354574116811e+00 1.782756262924412027e+00 4.357106055426990920e+00 0.000000000000000000e+00
